OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00115894,Bridgemary South,Gosport,South East,32,360,8.8900,
E00115949,Forton,Gosport,South East,23,321,7.1700,
E00168133,Christchurch,Gosport,South East,51,231,22.0800,
E00115963,Grange,Gosport,South East,37,327,11.3100,
E00115893,Bridgemary South,Gosport,South East,21,407,5.1600,
E00115914,Brockhurst,Gosport,South East,43,214,20.0900,
E00116071,Rowner and Holbrook,Gosport,South East,10,373,2.6800,
E00115910,Brockhurst,Gosport,South East,42,283,14.8400,
E00115971,Grange,Gosport,South East,23,343,6.7100,
E00116084,Town,Gosport,South East,34,244,13.9300,
E00115911,Brockhurst,Gosport,South East,84,296,28.3800,
E00115972,Grange,Gosport,South East,35,508,6.8900,
E00115964,Grange,Gosport,South East,9,139,6.4700,
E00115904,Brockhurst,Gosport,South East,26,296,8.7800,
E00115985,Hardway,Gosport,South East,37,277,13.3600,
E00115974,Grange,Gosport,South East,16,363,4.4100,
E00115844,Alverstoke,Gosport,South East,27,292,9.2500,
E00115940,Elson,Gosport,South East,33,395,8.3500,
E00168134,Town,Gosport,South East,64,207,30.9200,
E00116070,Rowner and Holbrook,Gosport,South East,9,378,2.3800,
E00116052,Privett,Gosport,South East,22,285,7.7200,
E00115861,Anglesey,Gosport,South East,38,245,15.5100,
E00116023,Leesland,Gosport,South East,37,321,11.5300,
E00115939,Elson,Gosport,South East,19,360,5.2800,
E00115863,Anglesey,Gosport,South East,25,255,9.8000,
E00115924,Christchurch,Gosport,South East,69,374,18.4500,
E00115915,Christchurch,Gosport,South East,39,327,11.9300,
E00115920,Christchurch,Gosport,South East,33,311,10.6100,
E00168131,Hardway,Gosport,South East,65,233,27.9000,
E00115882,Bridgemary South,Gosport,South East,12,419,2.8600,
E00116021,Leesland,Gosport,South East,93,373,24.9300,
E00115952,Forton,Gosport,South East,28,306,9.1500,
E00168129,Town,Gosport,South East,49,199,24.6200,
E00115858,Anglesey,Gosport,South East,36,315,11.4300,
E00115843,Alverstoke,Gosport,South East,57,244,23.3600,
E00116074,Rowner and Holbrook,Gosport,South East,43,304,14.1400,
E00168125,Town,Gosport,South East,38,204,18.6300,
E00168148,Hardway,Gosport,South East,24,355,6.7600,
E00168146,Christchurch,Gosport,South East,44,317,13.8800,
E00115942,Elson,Gosport,South East,72,216,33.3300,
E00168127,Town,Gosport,South East,43,188,22.8700,
E00168123,Christchurch,Gosport,South East,41,278,14.7500,
E00116053,Privett,Gosport,South East,85,223,38.1200,
E00116035,Peel Common,Gosport,South East,30,259,11.5800,
E00115932,Elson,Gosport,South East,32,279,11.4700,
E00116024,Leesland,Gosport,South East,54,244,22.1300,
E00116090,Town,Gosport,South East,67,286,23.4300,
E00116085,Town,Gosport,South East,63,290,21.7200,
E00115842,Alverstoke,Gosport,South East,32,280,11.4300,
E00115937,Elson,Gosport,South East,18,326,5.5200,
E00115946,Forton,Gosport,South East,44,281,15.6600,
E00116030,Leesland,Gosport,South East,25,359,6.9600,
E00115956,Forton,Gosport,South East,33,391,8.4400,
E00115890,Bridgemary South,Gosport,South East,19,406,4.6800,
E00168126,Hardway,Gosport,South East,55,239,23.0100,
E00116057,Privett,Gosport,South East,34,338,10.0600,
E00116066,Rowner and Holbrook,Gosport,South East,32,299,10.7000,
E00116020,Leesland,Gosport,South East,24,373,6.4300,
E00116073,Rowner and Holbrook,Gosport,South East,26,365,7.1200,
E00115979,Hardway,Gosport,South East,47,400,11.7500,
E00115918,Christchurch,Gosport,South East,28,363,7.7100,
E00115957,Forton,Gosport,South East,30,341,8.8000,
E00115902,Brockhurst,Gosport,South East,38,283,13.4300,
E00168144,Lee East,Gosport,South East,11,404,2.7200,
E00115943,Forton,Gosport,South East,62,315,19.6800,
E00115841,Alverstoke,Gosport,South East,43,336,12.8000,
E00115921,Christchurch,Gosport,South East,84,240,35.0000,
E00115983,Hardway,Gosport,South East,30,352,8.5200,
E00086075,Copnor,Portsmouth,South East,30,298,10.0700,
E00086543,St Thomas,Portsmouth,South East,67,189,35.4500,
E00086204,Eastney and Craneswater,Portsmouth,South East,71,202,35.1500,
E00086285,Hilsea,Portsmouth,South East,18,290,6.2100,
E00086283,Hilsea,Portsmouth,South East,35,284,12.3200,
